adc0,adc1,difference
2978.172,2980.956,2.784
2978.221,2981.131,2.91
2978.159,2981.079,2.92
2978.18,2981.055,2.875
2978.215,2980.931,2.716
2978.206,2981.079,2.873
2978.27,2981.078,2.808
2978.135,2981.046,2.911
2978.211,2981.12,2.909
2978.35,2981.163,2.813
2978.301,2981.208,2.907
2978.348,2981.118,2.77
2978.285,2981.182,2.897
2978.272,2981.078,2.806
2978.21,2981.157,2.947
2978.282,2981.219,2.937
