adc0,adc1,difference
2978.241,2981.244,3.003
2978.334,2981.193,2.859
2978.372,2981.266,2.894
2978.37,2981.253,2.883
2978.301,2981.286,2.985
2978.392,2981.414,3.022
2978.322,2981.216,2.894
2978.426,2981.279,2.853
2978.302,2981.271,2.969
2978.27,2981.148,2.878
2978.357,2981.379,3.022
2978.305,2981.217,2.912
2978.394,2981.175,2.781
2978.359,2981.267,2.908
2978.359,2981.257,2.898
2978.295,2981.292,2.997
