adc0,adc1,difference
2978.412,2981.25,2.838
2978.508,2981.298,2.79
2978.349,2981.243,2.894
2978.393,2981.3,2.907
2978.42,2981.147,2.727
2978.363,2981.383,3.02
2978.451,2981.217,2.766
2978.388,2981.208,2.82
2978.345,2981.227,2.882
2978.374,2981.267,2.893
2978.429,2981.291,2.862
2978.589,2981.303,2.714
2978.426,2981.264,2.838
2978.406,2981.34,2.934
2978.482,2981.346,2.864
2978.463,2981.297,2.834
