1720811080.0766315,1609461638936236000
1720811080.112897,1609461638969658000
1720811080.1438282,1609461639003188000
1720811080.1775599,1609461639036737000
1720811080.2134354,1609461639070431000
1720811080.2440877,1609461639103745000
1720811080.27773,1609461639137273000
1720811080.3137994,1609461639170996000
1720811080.345095,1609461639204826000
1720811080.3785224,1609461639238239000
1720811080.4156606,1609461639271773000
1720811080.4461281,1609461639305395000
1720811080.4799838,1609461639339083000
1720811080.5132015,1609461639372098000
1720811080.5470493,1609461639405447000
1720811080.5798,1609461639438913000
1720811080.6135182,1609461639472619000
1720811080.647287,1609461639505991000
1720811080.6806655,1609461639539282000
1720811080.716331,1609461639572414000
1720811080.747466,1609461639605936000
1720811080.7818449,1609461639639348000
1720811080.8134897,1609461639672900000
1720811080.8512158,1609461639706642000
1720811080.883433,1609461639740740000
1720811081.9510496,1609461639774388000
1720811081.952897,1609461639807947000
1720811081.9539824,1609461639841501000
1720811081.9546578,1609461639875398000
1720811081.9552958,1609461639908747000
1720811081.9559782,1609461639942138000
1720811081.9566135,1609461639975752000
1720811081.95722,1609461640009414000
1720811081.9578207,1609461640042461000
1720811081.958419,1609461640075562000
1720811081.9590206,1609461640108951000
1720811081.9596217,1609461640142431000
1720811081.9602187,1609461640175525000
1720811081.96081,1609461640208827000
1720811081.9613998,1609461640242436000
1720811081.9621203,1609461640276218000
1720811081.962978,1609461640309520000
1720811081.9636102,1609461640343040000
1720811081.9642131,1609461640376802000
1720811081.9648108,1609461640410625000
1720811081.9654093,1609461640444019000
1720811081.966,1609461640477498000
1720811081.96659,1609461640511120000
1720811081.9671836,1609461640544710000
1720811081.9677687,1609461640577811000
1720811081.9683614,1609461640611154000
1720811081.9689488,1609461640644538000
1720811081.969534,1609461640678237000
1720811081.9701145,1609461640711838000
1720811081.9707265,1609461640745485000
1720811081.97137,1609461640779218000
1720811081.9720697,1609461640813399000
1720811082.01238,1609461640846944000
1720811082.021418,1609461640880508000
1720811082.055024,1609461640914148000
1720811082.088898,1609461640947988000
1720811082.1219645,1609461640981350000
1720811082.1582267,1609461641014577000
1720811082.1888034,1609461641047845000
1720811082.2225924,1609461641081518000
1720811082.2583356,1609461641114809000
1720811082.2898958,1609461641148388000
1720811082.3232367,1609461641182185000
1720811082.3570893,1609461641216157000
1720811082.390413,1609461641249556000
1720811082.423912,1609461641283017000
1720811082.4574683,1609461641316513000
1720811082.4914684,1609461641350291000
1720811082.5252001,1609461641383675000
1720811082.557942,1609461641417074000
1720811082.5915225,1609461641450407000
1720811082.6247149,1609461641483950000
1720811082.6584039,1609461641517037000
1720811082.6933527,1609461641550222000
1720811082.7249813,1609461641583631000
1720811082.7580245,1609461641617322000
1720811082.7948062,1609461641650722000
1720811082.8261232,1609461641684201000
1720811082.8597631,1609461641717782000
1720811082.8927314,1609461641751450000
1720811082.926768,1609461641784761000
1720811082.959059,1609461641818102000
1720811082.9928396,1609461641851697000
1720811083.0267026,1609461641885536000
1720811083.0599723,1609461641918968000
1720811083.0936193,1609461641952665000
1720811083.127636,1609461641986537000
1720811083.1618726,1609461642020878000
1720811083.195697,1609461642054776000
1720811083.2297401,1609461642088587000
1720811083.2632678,1609461642122336000
1720811083.2971878,1609461642156245000
1720811083.3304038,1609461642189524000
1720811083.3636105,1609461642222643000
1720811083.3967524,1609461642255749000
1720811083.4302886,1609461642289401000
1720811083.4638188,1609461642322800000
1720811083.4974427,1609461642356260000
1720811083.531292,1609461642389785000
1720811083.565147,1609461642423545000
1720811083.5980973,1609461642456744000
1720811083.6317425,1609461642490318000
1720811083.665431,1609461642524030000
1720811083.6993697,1609461642558048000
1720811083.73308,1609461642591571000
1720811083.766051,1609461642625061000
1720811083.7997763,1609461642658582000
1720811083.8337739,1609461642692512000
1720811083.8673933,1609461642725928000
1720811083.9008522,1609461642759228000
1720811083.9344645,1609461642792705000
1720811083.9678442,1609461642826383000
1720811084.0017984,1609461642859805000
1720811084.035219,1609461642893269000
1720811084.0682638,1609461642926762000
1720811084.1046677,1609461642960497000
1720811084.1361048,1609461642993871000
1720811084.1696877,1609461643027284000
1720811084.2041228,1609461643060612000
1720811084.2376883,1609461643094203000
1720811084.269344,1609461643127354000
1720811084.302359,1609461643160738000
1720811084.3353572,1609461643194244000
1720811084.3720217,1609461643228075000
1720811084.4033678,1609461643261464000
1720811084.437666,1609461643294851000
1720811084.4699228,1609461643328180000
1720811084.5033696,1609461643361850000
1720811084.538195,1609461643395186000
1720811084.569924,1609461643428515000
1720811084.6029327,1609461643461956000
1720811084.6408687,1609461643495723000
1720811084.6701806,1609461643529075000
1720811084.7046645,1609461643562262000
1720811084.7393506,1609461643595369000
1720811084.769914,1609461643628792000
1720811084.803851,1609461643661967000
1720811084.8388536,1609461643695246000
1720811084.8720999,1609461643728606000
1720811084.9046507,1609461643762458000
1720811084.9368207,1609461643795841000
1720811084.971505,1609461643829084000
1720811085.0046866,1609461643862187000
1720811085.0370061,1609461643895607000
1720811085.0700216,1609461643928685000
1720811085.1031566,1609461643961787000
1720811085.13638,1609461643994828000
1720811085.169571,1609461644028175000
1720811085.2025692,1609461644061156000
1720811085.2355847,1609461644094229000
1720811085.2687912,1609461644127411000
1720811085.3023224,1609461644160879000
1720811085.3352442,1609461644193953000
1720811085.3682463,1609461644226872000
1720811085.4013252,1609461644259983000
1720811085.4349573,1609461644293341000
1720811085.4678607,1609461644326425000
1720811085.5011122,1609461644359606000
1720811085.5370238,1609461644393000000
1720811085.567898,1609461644426522000
1720811085.6009798,1609461644459608000
1720811085.640322,1609461644492540000
